,Population,Area
Boke,1081445,31186
Conakry,1667864,3700
Faranah,942733,35581
Kankan,1986329,72145
Kindia,1559185,28873
Labe,995717,22869
Mamou,732117,17074
Nzerekore,1663582,37658
Bomi,84119,1932
Bong,328919,8754
Gbarpolu,83758,9689
Grand Bassa,224839,7936
Grand Cape Mount,129055,5162
Grand Gedeh,126146,10484
Grand Kru,57106,3895
Lofa,270114,9982
Margibi,199689,2616
Maryland,136404,2297
Montserrado,1144806,1909
Nimba,462026,11551
Rivercess,71509,5594
River Gee,66789,5113
Sinoe,104932,10137
Kayes,1996812,119743
Sikasso,2625919,70280
Segou,2336255,64821
Koulikoro,2418305,90120
Bamako,1809106,245
Mopti,2037330,79017
Ziguinchor,523840,7352
Diourbel,1420082,4824
Tambacounda,649854,42364
Dakar,2956023,547
Thies,1709112,6670
Louga,835325,24889
Kaolack,918355,5357
Fatick,684652,6849
Kolda,"633,652",13771
Bombali,434319,7985
Kambia,313765,3108
Koinadugu,265765,12121
Port Loko,500992,5719
Tonkolili,375363,7003
Kenema,545327,6053
Kailahun,409520,3859
Kono,352328,5641
Bonthe,140845,3468
Moyamba,260910,6902
Bo,561524,5473
Pujehun,292543,4105
