COUNTRY_CODE,COUNTRY_DISPLAY,COUNTRY_URL,LOCATION_CODE,LOCATION_DISPLAY,LOCATION_URL,EBOLA_MEASURE_CODE,EBOLA_MEASURE_DISPLAY,EBOLA_MEASURE_URL,CASE_DEFINITION_CODE,CASE_DEFINITION_DISPLAY,CASE_DEFINITION_URL,EBOLA_DATA_SOURCE_CODE,EBOLA_DATA_SOURCE_DISPLAY,EBOLA_DATA_SOURCE_URL,EPI_WEEK_CODE,EPI_WEEK_DISPLAY,EPI_WEEK_URL,INDICATOR_TYPE_CODE,INDICATOR_TYPE_DISPLAY,INDICATOR_TYPE_URL,DATAPACKAGEID_CODE,DATAPACKAGEID_DISPLAY,DATAPACKAGEID_URL,Display_Value,Numeric
LBR,Liberia,,LBR008001,BOMI,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W01,1/5/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
LBR,Liberia,,LBR008001,BOMI,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W01,1/5/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
LBR,Liberia,,LBR008001,BOMI,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W02,1/12/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
LBR,Liberia,,LBR008001,BOMI,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W02,1/12/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
LBR,Liberia,,LBR008001,BOMI,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W03,1/19/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
LBR,Liberia,,LBR008001,BOMI,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W03,1/19/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
LBR,Liberia,,LBR008001,BOMI,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W04,1/26/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
LBR,Liberia,,LBR008001,BOMI,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W04,1/26/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
LBR,Liberia,,LBR008001,BOMI,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W05,2/2/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
LBR,Liberia,,LBR008001,BOMI,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W05,2/2/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
LBR,Liberia,,LBR008001,BOMI,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W06,2/9/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
LBR,Liberia,,LBR008001,BOMI,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W06,2/9/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
