COUNTRY_CODE,COUNTRY_DISPLAY,COUNTRY_URL,LOCATION_CODE,LOCATION_DISPLAY,LOCATION_URL,EBOLA_MEASURE_CODE,EBOLA_MEASURE_DISPLAY,EBOLA_MEASURE_URL,CASE_DEFINITION_CODE,CASE_DEFINITION_DISPLAY,CASE_DEFINITION_URL,EBOLA_DATA_SOURCE_CODE,EBOLA_DATA_SOURCE_DISPLAY,EBOLA_DATA_SOURCE_URL,EPI_WEEK_CODE,EPI_WEEK_DISPLAY,EPI_WEEK_URL,INDICATOR_TYPE_CODE,INDICATOR_TYPE_DISPLAY,INDICATOR_TYPE_URL,DATAPACKAGEID_CODE,DATAPACKAGEID_DISPLAY,DATAPACKAGEID_URL,Display_Value,Numeric
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W01,1/5/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W01,1/5/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W02,1/12/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W02,1/12/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W03,1/19/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W03,1/19/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W04,1/26/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W04,1/26/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W05,2/2/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W05,2/2/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W06,2/9/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W06,2/9/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W07,2/16/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W07,2/16/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W08,2/23/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W08,2/23/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W09,3/2/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W09,3/2/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W10,3/9/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W10,3/9/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W11,3/16/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W11,3/16/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W12,3/23/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W12,3/23/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W13,3/30/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W13,3/30/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W14,4/6/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W14,4/6/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W15,4/13/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W15,4/13/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W16,4/20/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W16,4/20/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W17,4/27/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W17,4/27/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W18,5/4/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W18,5/4/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W19,5/11/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W19,5/11/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W20,5/18/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W20,5/18/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W21,5/25/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W21,5/25/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,PATIENTDB,Patient database,,2014-W22,6/1/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
SLE,Sierra Leone,,SLE003001,BO,,CASES,Number of cases,,CONF_PROB,Confirmed and probable case total,,SITREP,Situation report,,2014-W22,6/1/14,,SITREP_NEW,New,,11/19/14,Data package 2014-11-19,,NA,NA
